PRODUÇÃO,RETRANCA,TIPO,ARTISTA,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,IMPOSTO DE RENDA,ARTE,KMB,2022,Mar,7,Mon,7,10,38
BDBR,IMPOSTO DE RENDA,ARTE,KMB,2022,Mar,7,Mon,7,22,24
BDBR,IMPOSTO DE RENDA,ARTE,KMB,2022,Mar,7,Mon,7,34,25
BDDF,ESQUEMA,x,x,2022,Mar,7,Mon,19,8,13
BDDF,AUMENTO CASOS DENGUE,ARTE,FQB,2022,Mar,7,Mon,22,32,38
BDDF,DESCARTE MEDICAMENTO,ARTE,FQB,2022,Mar,7,Mon,5,14,44
BDDF,DIA DA MULHER DESEMPREGO,ARTE,TFB,2022,Mar,7,Mon,22,33,19
BDDF,DIA DA MULHER JORNADA,ARTE,TFB,2022,Mar,7,Mon,21,43,17
BDDF,DIA DA MULHER JORNADA,ARTE,TFB,2022,Mar,7,Mon,22,31,57
BDDF,ESPORTE,ARTE,GVB,2022,Mar,7,Mon,23,18,47
BDDF,FIES,ARTE,x,2022,Mar,7,Mon,21,46,29
BDDF,GAS,GRAFICO,x,2022,Mar,7,Mon,22,57,59
BDDF,IMPOSTO DE RENDA,ARTE,KMB,2022,Mar,7,Mon,7,27,13
BDDF,PRISAO PADRE,DESTAQUE,KMB,2022,Mar,7,Mon,6,29,13
DF1,DESCARTE MEDICAMENTO,ARTE,KMB,2022,Mar,7,Mon,9,2,26
DF1,DESCARTE MEDICAMENTO,ARTE,KMB,2022,Mar,7,Mon,9,3,32
DF1,DINHEIRO,ARTE,AMB,2022,Mar,7,Mon,9,15,43
DF1,PADRE INDICIADO,DESTAQUE,x,2022,Mar,7,Mon,11,29,46
DF1,PADRE INDICIADO,DESTAQUE,AMB,2022,Mar,7,Mon,11,16,46
DF1,SEM EDUCADOR,ARTE,AMB,2022,Mar,7,Mon,10,41,57
DF1,USO MASCARAS,ARTE,KMB,2022,Mar,7,Mon,8,1,56
DF1,USO MASCARAS,ARTE,KMB,2022,Mar,7,Mon,8,10,22
DF2,ARTE,ARTE,x,2022,Mar,7,Mon,17,45,16
DF2,ARTE,ARTE,x,2022,Mar,7,Mon,17,50,33
DF2,ARTE,ARTE,x,2022,Mar,7,Mon,18,16,57
DF2,ESQUEMA,x,x,2022,Mar,7,Mon,18,45,54
DF2,BOLETIM MULHERES,DESTAQUE,TFB,2022,Mar,7,Mon,18,30,17
DF2,LAPADA,DESTAQUE,KLB,2022,Mar,7,Mon,16,20,39
GNEWS,JOGO ELEITORAL,x,x,2022,Mar,7,Mon,20,31,37
GNEWS,TWITTER,DESTAQUE,FQB,2022,Mar,7,Mon,22,44,27
GNEWS,TWITTER,DESTAQUE,FQB,2022,Mar,7,Mon,22,44,37
GNEWS,TWITTER,DESTAQUE,FQB,2022,Mar,7,Mon,22,53,18
JG,CAMARA,DESTAQUE,TFB,2022,Mar,7,Mon,19,50,13
JH,DINHEIRO ESQUECIDO CALENDARIO,ARTE,KMB,2022,Mar,7,Mon,10,44,59
JH,DINHEIRO ESQUECIDO CALENDARIO,ARTE,KMB,2022,Mar,7,Mon,13,37,2
JH,DINHEIRO ESQUECIDO CALENDARIO,ARTE,KMB,2022,Mar,7,Mon,13,40,45
JH,DINHEIRO ESQUECIDO passo a passo site,DESTAQUE,IRB,2022,Mar,7,Mon,10,41,4
JH,RESGATE BRASILEIROS deslocamento,MAPA,KMB,2022,Mar,7,Mon,11,49,43
JH,RESGATE BRASILEIROS deslocamento,MAPA,KMB,2022,Mar,7,Mon,13,22,49
JH,RESGATE BRASILEIROS na ucrania,MAPA,KMB,2022,Mar,7,Mon,13,30,58
JH,RESGATE BRASILEIROS na ucrania,MAPA,KMB,2022,Mar,7,Mon,13,32,50
JH,RESGATE BRASILEIROS,FOTO,x,2022,Mar,7,Mon,11,5,4
JN,FAB AJUDA HUMANITARIA ARTE LISTA PASSAGEIROS,ARTE,FQB,2022,Mar,7,Mon,19,42,45
JN,FAB AJUDA HUMANITARIA ARTE MAPA CONFLITO,MAPA,FQB,2022,Mar,7,Mon,18,11,15
JN,FAB AJUDA HUMANITARIA ARTE MAPA CONFLITO,MAPA,FQB,2022,Mar,7,Mon,19,40,45
JN,FAB AJUDA HUMANITARIA ARTE ROTA,MAPA,FQB,2022,Mar,7,Mon,18,43,15
JN,FAB AJUDA HUMANITARIA ARTE ROTA,MAPA,FQB,2022,Mar,7,Mon,18,57,32
JN,FAB AJUDA HUMANITARIA ARTE ROTA,MAPA,FQB,2022,Mar,7,Mon,19,13,37
JN,FAB AJUDA HUMANITARIA,FOTO,FQB,2022,Mar,7,Mon,20,19,49
