PRODUÇÃO,RETRANCA,TIPO,ARTISTA,VERSÃO,ANO,MÊS,DIA,SEMANA,HORA,MINUTOS,SEGUNDOS
BDBR,SAUDE MENSTRUAL,ARTE,GVB,V1,2022,Mar,8,Tue,23,28,32
BDBR,SAUDE MENSTRUAL,ARTE,GVB,V2,2022,Mar,8,Tue,23,37,12
BDDF,AUMENTO CASOS DENGUE,ARTE,FQB,V2,2022,Mar,8,Tue,21,28,51
BDDF,AUMENTO CASOS DENGUE,ARTE,FQB,V3,2022,Mar,8,Tue,21,31,4
BDDF,AUMENTO DE CASOS,ARTE,x,V1,2022,Mar,8,Tue,22,25,4
BDDF,CASTRACAO UNB,x,x,V1,2022,Mar,8,Tue,19,18,16
BDDF,COVID NO DF,ARTE,FQB,V1,2022,Mar,8,Tue,22,56,48
BDDF,HOME OFFICE,ARTE,TFB,V1,2022,Mar,8,Tue,20,38,51
BDDF,HOME OFFICE,ARTE,TFB,V2,2022,Mar,8,Tue,20,44,45
BDDF,NO FIM DAS CONTAS FGTS EMAIL,DESTAQUE,FQB,V1,2022,Mar,8,Tue,16,12,59
BDDF,NO FIM DAS CONTAS FGTS O GLOBO,DESTAQUE,FQB,V1,2022,Mar,8,Tue,16,13,4
BDDF,NO FIM DAS CONTAS FGTS O GLOBO,DESTAQUE,FQB,V2,2022,Mar,8,Tue,16,48,53
BDDF,PNEUMONIA E COVID,ARTE,FQB,V1,2022,Mar,8,Tue,22,53,50
BDDF,PNEUMONIA E COVID,ARTE,FQB,V1,2022,Mar,8,Tue,20,14,28
BDDF,RESGATE DINHEIRO,ARTE,TFB,V1,2022,Mar,8,Tue,22,21,23
BDDF,TRASNPORTE PIRATA,ARTE,x,V1,2022,Mar,8,Tue,20,11,8
BDDF,TRASNPORTE PIRATA,ARTE,x,V2,2022,Mar,8,Tue,20,20,19
BDDF,VALORES A RECEBER,PASSEIO,TFB,V1,2022,Mar,8,Tue,22,43,34
BDDF,VIOLENCIA DOMESTICA,ARTE,TFB,V1,2022,Mar,8,Tue,20,17,49
BDDF,VIOLENCIA MULHER,ARTE,GVB,V1,2022,Mar,8,Tue,20,19,2
DF1,ARRASTAO ESCOLA,x,KMB,V1,2022,Mar,8,Tue,11,28,43
DF1,DANCA DAS CADEIRAS 2,ARTE,AMB,V1,2022,Mar,8,Tue,11,57,27
DF1,DANCA DAS CADEIRAS 2,ARTE,AMB,V2,2022,Mar,8,Tue,12,4,11
DF1,JANELA PARTIDARIA,x,PHB,V3,2022,Mar,8,Tue,12,3,5
DF1,JANELA PARTIDÁRIA,x,PHB,V1,2022,Mar,8,Tue,11,44,58
DF1,NO FIM DAS CONTAS,ARTE,KLB,V1,2022,Mar,8,Tue,11,24,58
DF1,NO FIM DAS CONTAS,ARTE,KLB,V2,2022,Mar,8,Tue,11,39,10
DF1,POSTOS PM,ARTE,KMB,V1,2022,Mar,8,Tue,8,19,10
DF1,VIOLENCIA MULHER,ARTE,x,V1,2022,Mar,8,Tue,11,13,7
DF2,CASTRACAO,x,x,V1,2022,Mar,8,Tue,18,14,10
DF2,DECISAO DERRUBADA,DESTAQUE,FQB,V1,2022,Mar,8,Tue,16,23,47
DF2,MULHERES NO TRANSITO,x,PHB,V1,2022,Mar,8,Tue,17,30,10
DF2,MULHERES NO TRANSITO,x,PHB,V2,2022,Mar,8,Tue,18,1,10
DF2,PROCURA PADRE,DESTAQUE,TFB,V1,2022,Mar,8,Tue,17,27,30
DF2,PROCURA PADRE,PASSEIO,TFB,V1,2022,Mar,8,Tue,17,16,16
DF2,VIOLENCIA DOMESTICA,ARTE,TFB,V1,2022,Mar,8,Tue,16,46,59
DF2,VIOLENCIA DOMESTICA,ARTE,TFB,V2,2022,Mar,8,Tue,17,4,22
DF2,VIOLENCIA DOMESTICA,ARTE,TFB,V3,2022,Mar,8,Tue,17,15,1
DF2,VIOLENCIA DOMESTICA,ARTE,TFB,V4,2022,Mar,8,Tue,16,43,31
DF2,VIOLENCIA MULHER,ARTE,GVB,V1,2022,Mar,8,Tue,17,24,24
GE,DIA DAS MULHERES,x,KMB,V1,2022,Mar,8,Tue,12,5,6
GE,DIA DAS MULHERES,x,AMB,V1,2022,Mar,8,Tue,11,36,35
GNEWS,BOLSONARO,FOTO,TFB,V1,2022,Mar,8,Tue,19,53,14
GNEWS,COMBUSTIVEIS,ARTE,TFB,V1,2022,Mar,8,Tue,18,25,22
GNEWS,JOGO ELEITORAL,x,x,V1,2022,Mar,8,Tue,20,26,43
GNEWS,JOGO ELEITORAL,x,x,V2,2022,Mar,8,Tue,19,10,56
GNEWS,OPERACAO RESGUARDO,ARTE,x,V1,2022,Mar,8,Tue,19,2,2
H1,SAUDE MENSTRUAL,ARTE,GVB,V1,2022,Mar,8,Tue,22,46,16
JG,SAUDE MENSTRUAL,ARTE,GVB,V1,2022,Mar,8,Tue,23,6,34
JG,SAUDE MENSTRUAL,ARTE,GVB,V2,2022,Mar,8,Tue,23,56,13
JH,POBREZA MENSTRUAL,ARTE,KMB,V1,2022,Mar,8,Tue,13,24,3
JN,MINERACAO INDIGENAS ARTE PROJETO,ARTE,FQB,V1,2022,Mar,8,Tue,19,39,55
JN,MINERACAO INDIGENAS LEVANTAMENTO,ARTE,FQB,V1,2022,Mar,8,Tue,19,27,56
JN,SAUDE MENSTRUAL,ARTE,GVB,V1,2022,Mar,8,Tue,20,7,36
